GUID bbdbc161bb2048c2a08de45dd0c3b58c
Type Food
Rarity Epic
Useable Consumeable
ID 1961

Size_X 4
Size_Y 2
Size_Z 0.4

Food 45
Water 30
Virus 15
ConsumeAudioClip Sounds/EatCrunchy.mp3

Fishing_Catchable
{
	Min_Relocate_Interval 1.5
	Max_Relocate_Interval 2
	Max_Upward_Acceleration 3
	Max_Downward_Acceleration 3
	Max_Upward_Speed 2
	Max_Downward_Speed 1.5
	Upper_Restitution 1.33
	Lower_Restitution 0.5
	Min_Target_Delta 0.2
	Max_Target_Delta 0.5
	Min_Target_Position 0.15
	Max_Target_Position 0.66
	Capture_Duration 5
	Escape_Duration 1.5
	Spring_Stiffness 16.5
	Spring_Damping 1.33
}
