GUID 362ab81b73a7431eb3f1477645605891
Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 328

Size_X 2
Size_Y 2
Size_Z 0.5

Health 600
Range 4
Radius 0.5
Offset 0.75

Storage_X 6
Storage_Y 6

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Armor_Tier High
Should_Close_When_Outside_Range true
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
