GUID fb0c1080e83b4fbfbf9e0775eab29450
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 1394

Sight 1301
Magazine 1395

Ammo_Min 40
Ammo_Max 50

Auto

Caliber 37

Range 250
Firerate 7
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 40
Resource_Damage 50
Object_Damage 50

Invulnerable

Spread_Aim 0.2
Spread_Hip 0.025

Recoil_Min_X -0.1
Recoil_Min_Y 0.3
Recoil_Max_X 0.1
Recoil_Max_Y 0.5

Recover_X 0.5
Recover_Y 0.5

Muzzle 4

Reload_Time 2
Turret
