GUID 30c7b04f458e4cbb8958bc487ed46cc4
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 1283

Size_X 2
Size_Y 1
Size_Z 0.3

Health 200
Range 4
Radius 0.4
Offset 0.5

Storage_X 4
Storage_Y 3

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
