GUID ccbd6723706d4a8ea0f271e007b4c33c
Type Vendor
ID 71

Selling 8
// Coalition_Bottom
Selling_0_ID 1419
Selling_0_Cost 15
// Coalition_Top_Ensign
Selling_1_ID 1420
Selling_1_Cost 15
// Coalition_Top_Lieutenant
Selling_2_ID 1421
Selling_2_Cost 25
Selling_2_Conditions 1
Selling_2_Condition_0_Type Flag_Short
Selling_2_Condition_0_ID 29
Selling_2_Condition_0_Value 1
Selling_2_Condition_0_Logic Greater_Than
// Coalition_Top_Major
Selling_3_ID 1422
Selling_3_Cost 35
Selling_3_Conditions 1
Selling_3_Condition_0_Type Flag_Short
Selling_3_Condition_0_ID 29
Selling_3_Condition_0_Value 2
Selling_3_Condition_0_Logic Greater_Than
// Coalition_Vest
Selling_4_ID 1425
Selling_4_Cost 90
Selling_4_Conditions 1
Selling_4_Condition_0_Type Flag_Short
Selling_4_Condition_0_ID 29
Selling_4_Condition_0_Value 1
Selling_4_Condition_0_Logic Greater_Than
// Cap_Coalition
Selling_5_ID 1426
Selling_5_Cost 15
// Coalition_Helmet
Selling_6_ID 1427
Selling_6_Cost 90
Selling_6_Conditions 1
Selling_6_Condition_0_Type Flag_Short
Selling_6_Condition_0_ID 29
Selling_6_Condition_0_Value 1
Selling_6_Condition_0_Logic Greater_Than
// Coalition_Beret
Selling_7_ID 1428
Selling_7_Cost 110
Selling_7_Conditions 1
Selling_7_Condition_0_Type Flag_Short
Selling_7_Condition_0_ID 29
Selling_7_Condition_0_Value 2
Selling_7_Condition_0_Logic Greater_Than
