GUID dfcac53c8de64b009730b3f4906d17e7
Type Food
Rarity Epic
Useable Consumeable
ID 1076

Size_X 2
Size_Y 2
Size_Z 0.45

Health 20
Food 50
Water 50
Virus 10

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 397
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 462
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 470
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Level 3
Blueprint_0_Skill Cook
Blueprint_0_Build 27
ConsumeAudioClip Sounds/EatCrunchy.mp3
