GUID a82e9e730c0746a7a55c4261275e1760
Type Farm
Useable Barricade
Build Farm
ID 1945

Size_X 1
Size_Y 1
Size_Z 0.2

Health 1
Range 4
Radius 0.33
Offset 0.75

Growth 13500
Grow 1944

Explosion 43
Vulnerable

Blueprints
[
	{
		CategoryTag "bfac6026305f4737a95fd275ebff65a6" // Utilities
		InputItems "97c3c11c1e3f4e909c7101f8b31e914d" // Rice
		OutputItems this
		Effect "84347b13028340b8976033c08675d458" // Wrench
	}
]

PlacementAudioClip Sounds/FoliagePlacement.mp3
Has_Clip_Prefab false
