GUID c3a715da9ae0443c9350f627584abef4
Type Magazine
Rarity Uncommon
ID 1344

Size_X 2
Size_Y 1
Size_Z 0.175

Amount 35
Count_Min 30
Count_Max 35

Calibers 1
Caliber_0 30

Tracer 116
Impact 117

Blueprints 2
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1344
Blueprint_0_Build 30
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID this
Blueprint_1_Product "67" // Metal Scrap
Blueprint_1_Products 1
Blueprint_1_Build 27

Delete_Empty
