GUID c00faf98ea6b449f833f768f76f54805
Type Vehicle
Rarity Rare

Speed_Min -6
Speed_Max 14.5

Steer_Min 24
Steer_Max 48

Brake 32

Fuel_Min 200
Fuel_Max 400
Fuel 2500

Health_Min 500
Health_Max 600
Health 700

Traction

Trunk_Storage_X 6
Trunk_Storage_Y 5

Explosion 20
Tires_Invulnerable

IgnitionAudioClip Sounds/CarIgnition.mp3
HornAudioClip Sounds/CarHorn_03.mp3
Has_Clip_Prefab false

Carjack_Force_Multiplier 2
Explosion_Force_Multiplier 2

PaintableSections
[
    {
        Path Model_0
        MaterialIndex 0
    }
    {
        Path Model_1
        MaterialIndex 0
    }
]

DefaultPaintColors
[
	"#475e83" // Coalition
	"#a69884" // Desert
	"#437c44" // Forest
	"#495631" // Russia
]

WheelConfigurations
[
	{
		WheelColliderPath Tires/Tire_0
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_0
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_1
		IsColliderSteered true
		IsColliderPowered false
		ModelPath Wheels/Wheel_1
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_2
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_2
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_3
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_3
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_4
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_4
		ModelUseColliderPose true
	}
	{
		WheelColliderPath Tires/Tire_5
		IsColliderSteered false
		IsColliderPowered true
		ModelPath Wheels/Wheel_5
		ModelUseColliderPose true
	}
]

ReverseGearRatio 8
ForwardGearRatios
[
	18
	12
]
GearShift_UpThresholdRPM 4000
GearShift_Duration 0.2
GearShift_Interval 0.5
EngineIdleRPM 1000
EngineMaxRPM 6000
EngineMaxTorque 5

EngineSound_Type EngineRPMSimple
EngineSound
{
	IdlePitch 1.0
	IdleVolume 0.75
	MaxPitch 1.5
	MaxVolume 1.0
}
