GUID 285463389c454aeeaad01b2503fcea5e

Type Small
ID 1

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 289
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 289
Interactability_Reward_0_Value False
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 290
Interactability_Reward_1_Value False

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 297
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Holiday_Restriction CHRISTMAS
Has_Clip_Prefab false
