GUID 1d9fa8ad36504d9ab63ad574c6675cf3
Type Barricade
Rarity Rare
Useable Barricade
Build Barricade
ID 1902

Size_X 3
Size_Y 2

Health 300
Range 4
Radius 0.3
Offset 0.6

Explosion 29
Vulnerable

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supply_0_ID 41
Blueprint_0_Supply_0_Amount 12
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supply_0_ID 1902
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Product 41
Blueprint_1_Products 12
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 1902
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Key Unstack

PlacementAudioClip Sounds/WoodenPlacement.mp3
Has_Clip_Prefab false
