GUID dc56734a150849e785975751364d41de
Type Generator
Rarity Epic
Useable Barricade
Build Generator
ID 1230

Size_X 3
Size_Y 3
Size_Z 0.5

Health 600
Range 4
Radius 1.25
Offset 1.5

Capacity 20000
Wirerange 64.0
Burn 5

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supply_0_ID 458
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
