GUID 5de40f42976d4e148d62eb86d170e1cc
Type Magazine
Rarity Epic
ID 1395

Size_X 2
Size_Y 2
Size_Z 0.25

Amount 50
Count_Min 40
Count_Max 50

Calibers 1
Caliber_0 37

Tracer 55

Range 5
Player_Damage 30
Zombie_Damage 50
Animal_Damage 50
Barricade_Damage 30
Structure_Damage 30
Vehicle_Damage 40
Resource_Damage 60
Object_Damage 40
Explosion 53
Explosive

Blueprints 4
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1193
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1395
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 1192
Blueprint_2_Build 30
Blueprint_3_Type Tool
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID this
Blueprint_3_Product "67" // Metal Scrap
Blueprint_3_Products 1
Blueprint_3_Build 27
