GUID 34ae9214fc364b8e98fdeafbf5ba5461
Type Magazine
Rarity Rare
ID 1042

Size_X 2
Size_Y 1
Size_Z 0.125

Amount 64
Count_Min 16
Count_Max 48

Calibers 1
Caliber_0 27

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 119
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1042
Blueprint_1_Build 30
Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID this
Blueprint_2_Supply_0_AllowEmpty true
Blueprint_2_Supply_0_Prioritization LowestAmount
Blueprint_2_Product "67" // Metal Scrap
Blueprint_2_Products 1
Blueprint_2_Build 27

Paintable
