GUID 28bfc446b42645a9a452abe34182edbf
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 1436

Size_X 3
Size_Y 2
Size_Z 0.5

Magazine 113

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Caliber 8

Range 20
Firerate 5
Action Break

Player_Damage 43
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 43
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 43
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 15
Resource_Damage 15
Object_Damage 15

Durability 1
Wear 2

Spread_Aim 0.7
Spread_Hip 0.33

Ballistic_Steps 1

Recoil_Min_X -16
Recoil_Min_Y 47
Recoil_Max_X 17
Recoil_Max_Y 52

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1436
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 2
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 380
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 67
Blueprint_2_Supply_1_Amount 3
Blueprint_2_Tool 1437
Blueprint_2_Tool_Critical
Blueprint_2_State_Transfer
Blueprint_2_Level 3
Blueprint_2_Skill Craft
Blueprint_2_Build 27
