GUID eeffac0063804866b38c8eb6436ace10
Type Oil_Pump
Rarity Rare
Useable Barricade
Build Oil
ID 1219

Size_X 3
Size_Y 3
Size_Z 1.1

Health 450
Range 4
Radius 0.5
Offset 0.75

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 4
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Supply_2_ID 75
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Supply_3_ID 28
Blueprint_0_Supply_3_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Fuel_Capacity 2500

PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
