GUID e9edc6e7d6c145cd9ddc593b507c7bdc

Type Small
ID 1

Holiday_Restriction CHRISTMAS

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 280
Condition_0_Value True
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 1707
Interactability_Condition_0_Amount 5
Interactability_Condition_0_Reset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 280
Interactability_Reward_0_Value False

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 277
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
Has_Clip_Prefab false
