GUID 6e4ee84becc449aeaa631ea54c3f6de4
Type Barricade
Rarity Uncommon
Useable Barricade
Build Sign_Wall
ID 1467

Size_X 2
Size_Y 2
Size_Z 0.65

Health 300
Range 4
Offset 0.125

Explosion 19

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip Sounds/WoodenPlacement.mp3
Has_Clip_Prefab false
