GUID 8f7670d2dabc449d8f38c8cb656c6acf
Type Sentry
Rarity Epic
Useable Barricade
Build Sentry
ID 1373

Size_X 2
Size_Y 2
Size_Z 0.55

Health 75
Range 4
Radius 0.5
Offset 1

Storage_X 5
Storage_Y 2
Display
Locked
Mode Hostile

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 459
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 1220
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 1008
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
