GUID d8d471399d36471794257a686fed7400
Type Storage
Rarity Epic
Useable Barricade
Build Storage
ID 1221

Size_X 2
Size_Y 2
Size_Z 0.65

Health 600
Range 4
Radius 0.5
Offset 1.25

Storage_X 5
Storage_Y 3
Display
Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Build 27

Should_Close_When_Outside_Range true

PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
