GUID 35457ca38d03426091815950e067262b
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 1249

Size_X 2
Size_Y 2
Size_Z 0.75

Health 500
Range 4
Radius 0.5
Offset 0.75

Storage_X 4
Storage_Y 6

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Should_Close_When_Outside_Range true
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
