GUID 9908a43237364f22a62242cd1fb14fc9
Type Barricade
Rarity Rare
Useable Barricade
Build Cage
ID 1222

Size_X 1
Size_Y 1
Size_Z 0.5

Health 300
Range 4
Offset 0.15

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
