GUID d9299b3aead64101aab30c7665ad1b6a
Type Barricade
Rarity Epic
Useable Barricade
Build Freeform
ID 1091

Size_X 2
Size_Y 2
Size_Z 0.325

Health 1000
Range 8
Radius 0.5
Offset 1.875

Vulnerable

Explosion 36

Blueprints 2
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Barricade
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1092
Blueprint_1_Supply_0_Amount 4
Blueprint_1_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
