GUID 2c22da130712455fbd2d0ace49f76eb4
Type Dialogue
ID 169

Messages 1
Message_0_Pages 1

Responses 3

// Seen anything?
// Boss_Wind_Accepted
Response_0_Dialogue 170
Response_0_Quest 162
Response_0_Conditions 1
Response_0_Condition_0_Type Quest
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_ID 162
Response_0_Condition_0_Status None
Response_0_Rewards 1
Response_0_Reward_0_Type Quest
Response_0_Reward_0_ID 162

// I took care of the zombie
// Boss_Wind_Completed
Response_1_Dialogue 171
Response_1_Quest 162
Response_1_Conditions 1
Response_1_Condition_0_Type Quest
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_ID 162
Response_1_Condition_0_Status Ready
Response_1_Condition_0_Reset
