GUID a3075e3dc0c64fb2896fd5a3a2afc43d
Type Quest
ID 240

Conditions 4
Condition_0_Type Item
Condition_0_ID 1472
Condition_0_Amount 1
Condition_1_Type Item
Condition_1_ID 1473
Condition_1_Amount 1
Condition_2_Type Item
Condition_2_ID 1474
Condition_2_Amount 1
Condition_3_Type Flag_Bool
Condition_3_ID 237
Condition_3_Value True
Condition_3_Logic Equal

Rewards 5
Reward_0_Type Experience
Reward_0_Value 75
Reward_1_Type Reputation
Reward_1_Value 5
Reward_2_Type Flag_Bool
Reward_2_ID 127
Reward_2_Value True
// Coalition quests completed
Reward_3_Type Flag_Short
Reward_3_ID 13
Reward_3_Value 1
Reward_3_Modification Increment
Reward_4_Type Vehicle
Reward_4_ID 140
Reward_4_Spawnpoint Liberator_Jet
