GUID f1347ad77d1a429aacf6afbcd43d33f2
Type Melee
Useable Melee
Slot Secondary
ID 1032

Size_X 1
Size_Y 2
Size_Z 0.6
Size2_Z 0.525

Range 1.75
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 10

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 25
Resource_Damage 25
Object_Damage 25

Durability 0.125

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1032
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_02.mp3
