GUID 0f2fea18ed9444cbbb544993ed31d009
Type Magazine
ID 352

Size_X 2
Size_Y 1
Size_Z 0.2

Amount 1

Calibers 1
Caliber_0 15

Tracer 48

Stuck 10

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 42
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 71
Blueprint_0_Products 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID this
Blueprint_1_Supply_0_AllowEmpty true
Blueprint_1_Supply_0_Prioritization LowestAmount
Blueprint_1_Product "42" // Pine Stick
Blueprint_1_Products 1
Blueprint_1_Build 27
