GUID 35e5ad20a45443e99553593a4b166c7b
Type Barricade
Rarity Epic
Useable Barricade
Build Freeform
ID 1092

Size_X 1
Size_Y 1
Size_Z 0.35

Health 250
Range 8
Radius 0.25
Offset 0.875

Explosion 36

Blueprints 2
Blueprint_0_Type Barricade
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Barricade
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1091
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Products 4
Blueprint_1_Build 27
PlacementAudioClip Sounds/MetalPlacement.mp3
Has_Clip_Prefab false
