GUID 0a9b3cf673bf48aaadafcaa61fa2eb98
Type Melee
Useable Melee
Slot Secondary
ID 1023

Size_X 3
Size_Y 2
Size_Z 0.4
Size2_Z 0.5

Range 2
Weak 0.4
Strong 0.375
Strength 1.5
Stamina 20

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 15
Object_Damage 15

Durability 0.1

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 1023
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27
AttackAudioClip Sounds/MeleeAttack_01.mp3
