GUID 9dacf96665b04b2b97e47f767f0be13e
Type Barricade
Useable Barricade
Build Barricade
ID 1318

Size_X 2
Size_Y 1
Size_Z 0.3

Health 250
Range 4
Radius 0.2
Offset 0.25

Explosion 37

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 66
Blueprint_0_Supply_0_Amount 7
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 258
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Supply_2_Critical
Blueprint_0_Build 27
PlacementAudioClip Sounds/WoodenPlacement.mp3
Has_Clip_Prefab false
