GUID 5b24f2fa70b34bf096353f9e750c0a00

Type Small
ID 1

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 302
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 4
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 302
Interactability_Reward_0_Value False
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 303
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 308
Interactability_Reward_2_Value False
Interactability_Reward_3_Type Flag_Bool
Interactability_Reward_3_ID 307
Interactability_Reward_3_Value False

Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 470
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Holiday_Restriction CHRISTMAS
Has_Clip_Prefab false
