GUID 6fd9dcf71c46440fb1d37f5503d57f57

Type Small
ID 1

Holiday_Restriction CHRISTMAS

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 260
Condition_0_Value True
Condition_0_Logic Equal

Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 1132
Interactability_Condition_0_Amount 4
Interactability_Condition_0_Reset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 4
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 260
Interactability_Reward_0_Value False
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 262
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 263
Interactability_Reward_2_Value True

Interactability_Reward_3_Type Flag_Short
Interactability_Reward_3_ID 276
Interactability_Reward_3_Value 1
Interactability_Reward_3_Modification Increment
Has_Clip_Prefab false
