GUID 7535986abb304f29b6bb55d40d9967de
Type Vendor
ID 17

Buying 1
Buying_0_ID 1353
Buying_0_Cost 25

Selling 6
Selling_0_ID 1046
Selling_0_Cost 60
Selling_1_ID 1048
Selling_1_Cost 50
Selling_2_ID 1130
Selling_2_Cost 30
Selling_3_ID 105
Selling_3_Cost 90
Selling_4_ID 1132
Selling_4_Cost 160

// Upgraded Fishing Rod Blueprint
Selling_5_ID 1c47939b50344c79852e1b4376debbfc
Selling_5_Cost 100
Selling_5_Conditions 1
// Upgraded Fishing Rod Available
Selling_5_Condition_0_Type Flag_Bool
Selling_5_Condition_0_Logic Equal
Selling_5_Condition_0_ID 345
Selling_5_Condition_0_Value True

Currency 5150ca8f765d4a68bfe54912146da410
