GUID 5ff4bcf752554990bf06e103b996cef2
Type Supply
ID 64

Size_X 1
Size_Y 1
Size_Z 0.45

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 66
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID this
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID "66" // Cloth
Blueprint_1_Output_0_Amount 3
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 1914
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Key Stack
