GUID 3b1ae9b68f19425b8dc0345a6f3c7ffc
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 1441

Size_X 5
Size_Y 2
Size_Z 0.35
Size2_Z 0.7

Sight 1442
Magazine 1443

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 20
Ammo_Max 20

Safety
Semi

Caliber 38

Range 300
Unplace 0.1
Replace 0.4
Firerate 15
Action Trigger
Shell 0

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 75
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 100
Resource_Damage 100
Object_Damage 125

Invulnerable

Spread_Aim 0.001
Spread_Hip 0.1

Ballistic_Steps 24
Ballistic_Travel 12.5
Ballistic_Drop 0

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 42

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1441
Blueprint_0_Product 67
Blueprint_0_Products 8
Blueprint_0_Build 27
